=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.03.10 18:10:44 =~=~=~=~=~=~=~=~=~=~=~=
1338,304,-502,4134,0.73,-1.20,9.90,10.00
1388,302,-516,4100,0.72,-1.24,9.82,9.92
1437,306,-526,4100,0.73,-1.26,9.82,9.92
1486,320,-516,4102,0.77,-1.24,9.82,9.93
1536,302,-516,4116,0.72,-1.24,9.85,9.96
1586,300,-508,4128,0.72,-1.22,9.88,9.98
1635,308,-528,4144,0.74,-1.26,9.92,10.03
1684,298,-510,4124,0.71,-1.22,9.87,9.97
1734,286,-506,4122,0.68,-1.21,9.87,9.97
1783,298,-520,4098,0.71,-1.24,9.81,9.92
1832,294,-520,4120,0.70,-1.24,9.86,9.97
1883,286,-518,4142,0.68,-1.24,9.92,10.02
1932,298,-520,4134,0.71,-1.24,9.90,10.00
1981,302,-506,4128,0.72,-1.21,9.88,9.98
2031,304,-522,4138,0.73,-1.25,9.91,10.01
2080,310,-518,4108,0.74,-1.24,9.84,9.94
2129,296,-520,4120,0.71,-1.24,9.86,9.97
2180,290,-512,4118,0.69,-1.23,9.86,9.96
2229,270,-506,4098,0.65,-1.21,9.81,9.91
2278,282,-510,4112,0.68,-1.22,9.84,9.94
2327,318,-514,4128,0.76,-1.23,9.88,9.99
2377,288,-510,4118,0.69,-1.22,9.86,9.96
2426,294,-518,4134,0.70,-1.24,9.90,10.00
2476,296,-512,4110,0.71,-1.23,9.84,9.94
2526,290,-512,4112,0.69,-1.23,9.84,9.95
2575,294,-520,4128,0.70,-1.24,9.88,9.99
2624,292,-516,4120,0.70,-1.24,9.86,9.97
2674,298,-498,4140,0.71,-1.19,9.91,10.01
2723,298,-518,4124,0.71,-1.24,9.87,9.98
2772,294,-518,4106,0.70,-1.24,9.83,9.93
2822,302,-510,4124,0.72,-1.22,9.87,9.98
2872,302,-500,4100,0.72,-1.20,9.82,9.92
2921,290,-520,4102,0.69,-1.24,9.82,9.92
2970,316,-510,4136,0.76,-1.22,9.90,10.01
3020,292,-522,4118,0.70,-1.25,9.86,9.96
3069,294,-510,4144,0.70,-1.22,9.92,10.02
3119,296,-510,4132,0.71,-1.22,9.89,9.99
3169,310,-506,4122,0.74,-1.21,9.87,9.97
3218,288,-528,4104,0.69,-1.26,9.83,9.93
3267,300,-504,4106,0.72,-1.21,9.83,9.93
3317,298,-508,4120,0.71,-1.22,9.86,9.96
3366,282,-502,4132,0.68,-1.20,9.89,9.99
3416,290,-500,4128,0.69,-1.20,9.88,9.98
3465,294,-500,4132,0.70,-1.20,9.89,9.99
3515,292,-526,4118,0.70,-1.26,9.86,9.96
3564,294,-512,4112,0.70,-1.23,9.84,9.95
3613,302,-508,4114,0.72,-1.22,9.85,9.95
3663,300,-516,4114,0.72,-1.24,9.85,9.95
3713,290,-502,4118,0.69,-1.20,9.86,9.96
3762,294,-522,4138,0.70,-1.25,9.91,10.01
3812,302,-516,4130,0.72,-1.24,9.89,9.99
3861,304,-514,4124,0.73,-1.23,9.87,9.98
3910,306,-508,4110,0.73,-1.22,9.84,9.94
3959,310,-526,4106,0.74,-1.26,9.83,9.94
4009,290,-510,4102,0.69,-1.22,9.82,9.92
4059,292,-510,4116,0.70,-1.22,9.85,9.95
4108,290,-526,4120,0.69,-1.26,9.86,9.97
4158,284,-510,4118,0.68,-1.22,9.86,9.96
4207,294,-514,4140,0.70,-1.23,9.91,10.01
4256,296,-504,4126,0.71,-1.21,9.88,9.98
4306,288,-506,4136,0.69,-1.21,9.90,10.00
